year,semester,under,major,subcode,subclass,subname,credit,time,hour,professor,size,isEnglish,isEngineer,oddEven,certify,exam,recommend,recommendGrade,registerRefer,explane,etc
2017 학년도,1학기,학부,영미어문전공,ENG2001,1,영문학개론,3,"수,금 09:00~10:15 [J327]",3,김치헌,38,O,,,,,전학년,1학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG2001,2,영문학개론,3,"화,목 09:00~10:15 [J307]",3,윤주옥,50,O,,,,,1학년,1학년,,,1학년 전용
2017 학년도,1학기,학부,영미어문전공,ENG2003,1,언어학개론,3,"수,금 13:30~14:45 [J215]",3,채서영,38,,,,,,전학년,1-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG2007,1,영미수필,3,"화,목 10:30~11:45 [J323]",3,신경원,14,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG2101,1,영문학작문,3,월 15:00~16:15 / 수 16:30~17:45 [J315],3,Chambers Claire Maria,13,O,,,,,"1,2학년",1-2학년,,,1-2학년 전용
2017 학년도,1학기,학부,영미어문전공,ENG2101,2,영문학작문,3,월 09:00~10:15 / 수 10:30~11:45 [J315],3,신문주,19,O,,,,,"1,2학년",1-2학년,,,1-2학년 전용
2017 학년도,1학기,학부,영미어문전공,ENG2101,3,영문학작문,3,월 10:30~11:45 / 수 12:00~13:15 [J317],3,손일수,18,O,,,,,"3,4학년",1-2학년,,,3-4학년 전용
2017 학년도,1학기,학부,영미어문전공,ENG2105,1,산문비평과인문학적사유,3,"화,목 16:30~17:45 [J325]",3,김영주,20,,,,,,전학년,2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG2106,1,시사영문강독,3,"화,목 10:30~11:45 [J107]",3,이성범,59,,,,,,전학년,1-4학년,,인터넷을통한영어(ENG2108)의 대체과목,
2017 학년도,1학기,학부,영미어문전공,ENG2111,1,영어연설과원고작성법,3,"수,금 15:00~16:15 [J215]",3,채서영,19,,,,,,"2,3,4학년",1-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3007,1,낭만주의시대의영문학,3,"화,목 12:00~13:15 [J323]",3,신경원,14,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3008,1,초기영국소설,3,"화,목 15:00~16:15 [J323]",3,신경원,18,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3107,1,현대미국소설,3,"수,금 09:00~10:15 [J602]",3,황은주,27,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3202,1,문학과환경,3,"수,금 15:00~16:15 [J327]",3,김치헌,56,O,,,,,전학년,2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3206,1,영어권세계의문학,3,월 09:00~10:15 / 수 10:30~11:45 [J327],3,이주리,24,O,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3213,1,여성문학,3,"화,목 13:30~14:45 [J126]",3,김영주,19,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3301,1,영어음성학,3,월 10:30~11:45 / 수 12:00~13:15 [J609],3,정인기,15,O,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3306,1,영어통사론,3,월 12:00~13:15 / 금 10:30~11:45 [J602],3,Barrie Michael Jonathan Mathew,35,O,,,,,전학년,2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3308,1,심리언어학,3,"화,목 13:30~14:45 [J219]",3,조숙환,40,,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3310,1,담화분석개론,3,"화,목 12:00~13:15 [J128]",3,이요안,17,O,,,,,"2,3,4학년",2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3313,1,영어교육론,3,"수,금 13:30~14:45 [J313]",3,박은성,20,O,,,,,"2,3,4학년",1-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3314,1,모국어습득론,3,"화,목 16:30~17:45 [D201]",3,조숙환,18,,,,,,"2,3,4학년",1-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG3319,1,언어조사및분석,3,월 13:30~14:45 / 금 12:00~13:15 [J609],3,Barrie Michael Jonathan Mathew,8,O,,,,,전학년,2-4학년,,,
2017 학년도,1학기,학부,영미어문전공,ENG4099,1,개별연구논문,3,목 18:00~20:45 [J112],3,김영주,6,,,,,,"3,4학년",3-4학년,,,Honors Program 필수교과목
2017 학년도,1학기,학부,영미어문전공,ENGG002,1,중세르네상스영문학프로세미나,3,화 15:00~18:00 [J616],3,김태원,1,,,,,,"3,4학년",3-4학년,,,
